Row,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139,cell140,cell141,cell142,cell143,cell144,cell145,cell146,cell147,cell148,cell149,cell150,cell151,cell152,cell153,cell154,cell155,cell156,cell157,cell158,cell159,cell160,cell161,cell162,cell163,cell164,cell165,cell166,cell167,cell168,cell169,cell170,cell171,cell172,cell173,cell174,cell175,cell176,cell177,cell178,cell179,cell180,cell181,cell182,cell183,cell184,cell185,cell186,cell187,cell188,cell189,cell190,cell191,cell192,cell193,cell194,cell195,cell196,cell197,cell198,cell199,cell200,cell201,cell202,cell203,cell204,cell205,cell206,cell207,cell208,cell209,cell210,cell211,cell212,cell213,cell214,cell215,cell216,cell217,cell218,cell219,cell220,cell221,cell222,cell223,cell224
Smap1,6,5,0,0,0,0,0,8,0,0,6,0,0,0,13,3,0,0,5,0,9,0,0,0,0,0,2,11,10,6,0,12,18,0,0,0,0,0,17,0,7,5,0,0,0,7,1,4,0,0,0,0,0,7,0,0,13,0,0,0,0,0,0,0,12,0,4,0,0,42,0,15,20,0,0,7,8,0,0,0,1,0,5,7,0,0,3,4,5,0,4,6,0,4,0,15,5,12,0,5,10,6,7,3,2,0,0,3,0,0,6,0,1,0,0,0,0,2,4,0,0,0,8,1,0,1,5,0,5,11,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,3,3,0,0,0,1,0,2,9,5,2,4,4,5,4,2,0,0,2,0,2,0,0,1,0,5,0,0,4,6,7,0,3,0,0,0,2,0,1,0,4,3,0,0,5,5,6,0,6,2,0,2,0,7,0,6,10,0,3,0,0,7,6,0,2,5,7,1,0,4,0,0,0,3,1
Phf3,5,0,0,3,0,9,0,7,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,4,0,0,5,12,0,0,0,0,0,0,3,0,0,4,5,4,0,0,5,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,15,0,14,0,0,0,4,0,3,0,6,0,0,4,0,0,6,7,0,0,0,2,0,1,5,0,2,0,3,5,0,0,0,19,0,0,0,0,0,4,6,3,0,0,6,5,2,0,0,4,2,0,0,0,0,0,0,8,3,0,6,0,5,0,0,0,4,0,0,0,0,0,0,9,2,0,0,0,0,2,3,0,0,2,0,2,6,1,0,4,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3,4,0,0,5,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,1,5,0,0,1,0,3,4,0,0,0,0,4,0,0,6,2,0
Mrps9,3,0,4,3,2,0,0,2,6,4,2,5,2,0,0,4,0,2,0,0,0,5,11,3,0,1,3,9,12,0,2,2,9,0,0,0,5,3,9,4,9,5,14,0,4,0,13,10,2,2,7,5,0,11,3,6,6,0,9,0,0,5,5,0,0,0,2,1,7,11,0,20,12,0,0,7,2,0,0,6,0,0,3,0,7,6,5,0,5,0,0,2,14,5,0,0,0,3,2,0,6,4,6,1,1,4,0,3,6,1,0,1,9,8,8,3,6,1,7,0,0,0,0,1,0,0,3,1,6,3,0,3,0,0,0,2,2,0,5,0,0,0,6,3,4,2,0,0,6,3,2,2,0,0,5,6,12,3,0,9,2,0,13,0,3,3,2,4,2,0,3,4,0,0,0,2,0,18,10,0,2,0,15,0,5,4,0,2,5,8,0,11,3,0,2,1,2,1,0,0,1,2,1,0,2,0,5,4,3,0,2,0,3,6,3,3,0,0,8,1,6,1,1,4
Ppil3,1,0,4,2,7,0,9,0,0,0,2,0,0,2,1,3,1,0,0,0,1,2,0,5,0,0,7,0,0,0,1,0,4,0,2,7,0,5,6,2,2,10,1,0,0,0,3,12,8,1,0,7,2,8,8,1,0,0,5,0,3,0,1,0,11,5,0,6,2,2,1,7,8,0,7,0,0,0,3,2,1,0,2,2,6,3,11,0,0,8,7,0,2,4,3,2,5,3,2,6,0,4,1,0,5,0,4,5,7,6,5,0,0,5,4,5,0,4,2,4,0,0,0,2,0,0,2,0,0,0,3,1,0,2,2,6,0,0,0,0,1,0,6,0,1,5,0,0,2,0,4,0,0,0,1,4,2,5,3,2,3,0,0,6,10,0,1,2,0,5,0,0,4,0,1,2,2,3,7,0,0,1,3,0,0,7,0,0,9,5,0,2,0,0,2,1,6,0,0,0,0,0,0,4,1,1,5,4,0,0,4,5,3,1,0,1,0,0,0,2,4,2,1,5
Arpc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,16,0,0,0,0,16,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,19,0,10,0,0,0,22,0,0,4,0,21,4,0,0,17,0,0,22,16,0,0,0,0,24,0,0,24,0,0,0,25,25,0,18,0,36,6,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,17,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aamp,7,10,18,6,9,35,28,23,0,23,25,2,13,6,27,8,1,4,8,0,14,11,17,12,0,15,17,23,28,22,8,23,6,0,9,13,2,34,13,26,16,3,10,0,4,25,16,42,23,2,8,13,6,34,45,4,6,24,15,0,28,23,0,0,63,2,10,18,2,41,14,65,6,0,9,9,20,0,3,15,0,0,16,10,14,19,24,0,4,24,19,5,8,16,3,18,8,13,33,9,14,5,30,11,7,14,3,24,17,47,6,0,27,19,24,17,0,9,8,7,2,5,4,4,2,0,16,8,0,12,4,3,0,1,5,6,0,11,1,6,0,0,20,19,5,10,4,2,7,11,0,0,0,0,10,21,16,8,2,1,13,10,12,4,10,10,4,3,13,3,2,10,12,3,17,1,3,21,8,1,0,0,9,5,13,3,1,12,6,13,3,11,3,1,11,3,3,11,8,3,6,9,14,4,27,9,12,0,2,7,7,9,3,13,11,8,1,0,13,25,11,9,4,5
Chpf,18,13,18,14,18,39,25,31,7,19,29,8,21,10,29,15,1,4,15,2,11,23,46,8,3,9,34,24,26,8,23,14,23,4,27,5,1,24,14,25,24,6,5,18,4,39,2,9,17,4,6,15,10,34,4,16,23,0,24,2,19,10,0,11,71,3,3,24,14,65,7,41,34,15,14,17,26,13,12,12,0,0,40,24,14,16,39,5,2,14,28,19,16,25,4,25,4,13,31,24,17,32,10,10,18,21,0,19,12,34,23,0,25,15,26,26,3,9,19,8,1,0,4,4,0,7,11,9,1,17,2,20,4,0,0,7,4,2,22,11,2,2,16,24,6,28,2,8,3,18,1,7,12,7,29,20,19,18,13,28,18,22,12,25,13,19,4,11,17,19,9,13,15,2,19,7,2,16,17,1,5,1,13,16,24,10,0,10,17,21,15,17,11,14,22,14,7,13,26,14,11,12,11,3,34,19,28,17,2,10,5,21,10,4,18,19,8,3,16,19,15,8,4,9
Farsb,4,4,10,5,6,28,12,0,6,9,10,4,6,0,20,1,0,2,0,1,2,4,0,2,8,0,17,6,5,0,3,5,2,4,3,0,0,5,6,9,2,2,0,0,0,21,6,8,7,0,1,1,0,5,9,4,13,5,10,10,2,11,0,0,0,0,4,7,11,0,0,12,13,0,10,11,13,0,0,4,0,0,4,2,8,4,2,1,0,8,1,1,14,5,3,0,7,8,4,5,11,5,17,10,3,9,3,7,7,8,4,2,3,15,10,4,0,4,6,6,0,4,5,8,0,0,4,4,1,1,4,6,0,0,0,0,0,4,9,5,1,0,12,4,0,7,1,4,8,3,3,0,2,8,6,4,6,3,8,4,2,5,5,3,8,0,3,1,5,6,6,0,6,1,3,3,0,11,5,0,0,7,3,3,2,0,2,5,7,12,0,4,0,2,5,5,7,5,4,1,0,0,2,1,3,11,7,3,2,0,6,15,1,2,3,16,13,1,0,9,6,0,1,3
Cul3,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,18,0,7,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,13,0,0,0,0,0,0,0,5,0,3,0,10,0,3,0,10,6,0,0,6,0,0,0,5,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,0,0,3,0,1,0,0,0,3,0,1,0,0,0,4,0,3,2,0,7,0,5,0,0,0,1,0,0,0,0,0,9,0,0,3,0,4,0,0,0,1,0,0,6,0,0,0,0,0
Eif4e2,8,13,12,3,15,30,14,1,0,11,6,0,0,8,19,23,0,4,0,0,2,9,13,21,0,6,35,10,26,6,12,4,16,0,0,0,0,9,12,2,9,0,0,4,3,5,0,19,0,0,2,11,0,17,2,0,10,0,0,0,10,14,1,0,46,0,2,14,6,21,3,13,17,9,0,1,16,0,0,7,5,0,1,0,12,6,14,0,4,8,13,5,6,11,0,8,7,0,5,14,0,21,0,3,0,16,0,13,13,7,4,1,6,10,14,4,0,4,2,2,1,0,0,4,0,0,6,0,0,9,0,5,0,0,0,0,0,5,0,6,0,1,1,4,0,9,3,0,6,5,2,1,0,0,16,14,7,1,0,11,4,4,4,2,8,4,1,5,4,5,2,2,4,3,8,1,0,16,5,0,2,0,6,0,10,4,0,6,8,8,0,8,0,4,0,7,1,6,2,4,0,4,2,0,4,12,6,4,5,0,0,7,0,0,3,15,5,0,11,9,4,0,7,3
Cops8,2,1,11,1,4,4,3,4,5,0,8,1,0,0,5,6,1,3,0,0,3,5,3,2,0,0,5,2,8,0,2,5,4,4,6,4,0,3,7,5,8,6,0,0,0,5,0,2,1,0,4,3,0,2,14,4,4,0,5,0,6,6,0,0,7,0,0,0,0,0,0,6,3,0,0,10,9,3,1,0,0,2,4,0,6,12,5,1,0,6,2,0,0,0,0,4,4,2,3,6,2,9,1,0,0,2,0,0,5,1,10,0,2,3,3,3,0,0,5,0,0,0,5,4,0,1,5,4,0,4,0,2,0,0,4,0,7,0,0,0,0,0,5,2,0,8,2,0,5,0,1,3,0,0,10,4,2,0,3,3,1,0,6,11,4,5,3,0,6,2,4,0,4,0,9,1,0,9,9,0,1,0,4,2,3,4,0,6,2,1,3,6,0,1,3,3,0,9,1,11,4,0,0,1,4,5,4,6,1,1,1,9,0,0,3,1,0,0,5,4,2,0,2,4
Ndufa10,26,6,21,11,15,21,43,22,3,7,9,4,14,7,15,18,4,7,20,0,18,13,7,4,0,10,31,20,8,1,14,14,4,10,3,10,5,18,14,16,7,12,2,0,0,6,7,31,30,5,7,28,2,12,13,24,13,15,23,2,13,13,0,0,32,4,0,23,8,32,10,53,8,9,8,11,18,1,4,23,1,4,16,11,13,12,16,2,4,17,22,6,8,3,1,14,1,8,15,20,3,17,14,7,4,12,8,7,9,23,4,0,22,30,15,6,0,4,19,4,0,4,0,3,0,4,9,6,7,13,6,13,0,1,0,6,2,9,13,4,0,0,10,14,1,12,7,3,12,11,4,2,0,3,11,12,14,7,20,11,11,2,13,8,2,6,2,6,19,15,0,5,9,0,11,5,1,22,18,2,1,2,15,10,4,13,1,14,13,10,8,5,3,19,11,16,4,14,17,10,12,9,3,4,12,15,10,8,4,6,4,5,2,8,9,6,2,2,7,15,19,3,11,5
Dtymk,0,0,4,6,0,30,45,2,3,7,32,7,0,1,13,1,1,0,0,6,0,8,12,14,0,0,30,3,1,3,7,0,4,0,7,0,8,0,47,6,0,6,16,2,3,14,10,20,5,0,3,11,0,0,12,4,3,0,25,0,0,2,3,0,9,0,5,22,0,20,8,51,0,2,4,8,23,12,14,3,0,3,7,9,5,11,10,0,7,5,2,4,10,22,0,9,2,8,6,9,10,19,0,0,2,8,8,6,0,21,14,0,0,15,19,7,4,13,21,13,0,0,9,0,0,8,2,6,0,5,0,6,0,3,0,2,5,0,3,4,3,3,6,0,7,6,5,0,0,18,0,14,0,8,11,1,6,1,10,9,7,3,16,7,0,3,0,2,4,10,0,4,1,0,20,0,2,38,9,0,2,0,5,0,8,20,1,6,13,6,6,8,3,7,11,12,0,6,5,13,3,6,1,5,4,11,7,5,0,1,9,19,0,6,2,33,0,9,9,6,18,0,0,10
Actr3,12,8,5,9,5,32,2,8,13,9,10,3,2,4,8,5,0,1,2,4,2,8,6,1,3,13,9,4,15,6,12,3,16,13,0,8,1,15,28,8,12,4,0,6,4,20,12,17,9,0,3,19,2,19,7,3,9,7,13,4,10,9,2,2,9,4,0,15,9,11,5,22,27,7,8,3,11,6,8,2,0,0,7,8,7,11,11,5,1,1,7,4,6,14,2,1,6,2,8,4,5,3,4,3,0,2,2,12,13,5,10,0,17,2,13,5,1,5,7,7,0,0,9,0,0,0,7,0,0,3,2,5,0,2,0,2,14,9,9,7,2,0,5,4,0,8,3,7,7,7,6,2,1,0,6,7,8,2,12,11,4,2,11,3,8,10,2,1,5,5,6,3,2,2,9,3,0,11,7,4,1,1,8,7,3,5,2,11,7,8,3,8,6,9,13,9,6,2,4,6,2,7,5,0,9,16,6,2,2,4,4,21,6,2,4,9,0,3,1,2,10,3,0,5
Snrpe,12,2,0,7,7,44,12,9,13,21,16,7,0,0,23,14,0,5,24,2,2,8,19,0,6,0,28,10,14,12,13,5,10,0,10,0,0,34,12,10,0,0,2,1,20,6,11,14,10,1,10,15,0,22,8,8,15,4,20,14,3,5,3,0,19,0,0,8,15,4,0,13,0,3,11,22,21,8,5,18,1,6,4,5,11,4,16,1,5,3,1,5,5,12,4,4,13,2,9,6,7,17,8,2,9,7,5,7,7,42,5,1,13,11,16,18,5,14,13,20,6,5,13,5,3,9,5,3,2,8,7,9,2,2,3,0,6,9,16,1,1,1,8,3,0,6,2,14,6,14,1,0,0,4,10,21,0,5,11,13,4,10,19,3,7,9,2,8,20,7,8,11,8,0,10,4,8,18,22,2,6,7,3,14,3,4,8,8,17,12,1,12,5,6,13,14,4,6,10,2,0,4,14,4,11,10,21,4,0,5,8,14,6,11,7,11,3,2,9,25,10,1,3,4
Timm17a,11,16,21,17,11,77,14,7,15,13,26,4,9,20,12,7,4,6,19,3,4,20,23,28,11,18,48,29,36,10,17,16,13,12,20,9,6,20,27,28,24,18,18,2,8,31,9,46,17,5,20,16,3,8,26,23,30,21,58,9,21,39,3,1,0,5,4,26,12,39,11,30,61,25,28,34,27,9,7,17,9,4,14,5,17,18,60,5,9,3,12,1,30,30,9,5,21,11,29,20,13,20,4,28,10,28,6,35,20,26,14,0,13,31,35,14,2,8,15,11,0,0,5,7,2,6,18,15,9,21,4,12,3,6,0,7,5,12,15,14,10,2,31,11,6,18,7,15,10,14,0,5,3,4,22,20,12,11,9,17,12,4,27,7,18,12,3,7,22,13,18,22,10,5,27,4,0,41,15,2,4,6,18,15,10,15,6,24,15,26,1,18,9,11,26,29,12,7,10,12,5,11,9,5,17,20,18,10,4,21,8,37,1,8,5,30,2,0,17,16,23,11,5,4
Ier5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,12,0,11,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,15,0,0,0,4,0,0,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,6,16,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,0,0,0,0,9,0,0,7,18,0,0,0,0
Prdx6,38,54,0,8,4,70,17,36,0,0,55,7,0,0,15,18,0,0,0,0,10,18,54,0,8,0,48,8,39,2,22,34,10,0,0,24,0,0,0,23,0,16,0,7,11,12,18,18,50,17,0,22,7,22,25,0,7,30,0,9,12,57,0,18,0,0,23,0,6,34,10,94,30,47,35,37,32,13,7,21,9,4,6,57,5,16,20,1,11,44,18,9,28,33,14,22,7,24,15,16,41,10,18,10,26,9,3,21,21,31,8,1,10,57,31,13,3,18,28,2,5,6,14,9,9,24,15,15,7,21,2,13,3,0,11,1,4,8,6,2,2,0,49,10,4,13,20,11,18,17,8,5,4,17,24,13,12,0,16,36,0,0,19,13,0,23,8,16,21,13,29,4,20,0,9,11,2,33,15,0,5,24,8,8,10,0,0,17,36,20,2,18,15,7,46,6,6,6,36,7,0,18,11,9,11,19,25,12,4,11,15,28,17,18,0,36,0,15,12,29,13,7,4,12
Sdhc,4,0,7,7,4,36,19,10,1,23,11,12,4,10,9,12,3,4,4,10,19,6,21,18,3,7,19,10,17,8,10,4,15,9,4,1,8,27,12,12,25,17,5,5,1,8,16,19,4,0,4,23,5,18,27,8,15,12,9,8,8,8,5,6,22,8,0,10,11,28,2,14,0,10,20,8,14,8,6,0,0,0,16,16,17,11,16,8,0,28,0,20,25,20,4,12,0,0,17,7,7,8,9,12,13,10,8,9,16,16,12,0,17,5,13,1,0,7,19,9,0,11,12,13,9,7,6,11,13,6,4,9,7,2,0,3,3,2,11,4,0,0,16,12,16,17,4,17,1,7,1,0,9,0,11,16,13,0,10,13,4,11,0,7,10,1,3,4,12,10,20,8,5,5,11,8,0,13,3,8,8,1,0,2,12,5,7,18,3,11,7,5,11,4,11,10,12,4,5,3,1,13,5,0,13,11,13,6,5,11,5,18,4,9,11,9,7,0,11,15,7,6,6,8
Ndufs2,8,0,16,8,31,34,0,28,0,32,40,0,0,0,32,29,0,0,0,0,0,0,38,36,0,0,0,30,22,0,12,14,0,0,0,16,0,11,45,12,0,0,2,0,13,20,0,0,26,0,0,9,0,14,39,0,0,0,0,5,8,12,6,0,0,0,0,0,0,0,0,22,47,0,0,0,33,0,0,27,0,0,20,0,30,15,28,0,0,0,17,7,22,23,0,26,0,12,8,17,0,4,12,0,0,9,0,12,23,29,0,0,10,5,19,15,0,8,31,14,0,2,12,0,0,0,12,0,0,7,0,16,7,0,0,0,0,12,9,9,0,0,12,5,0,21,0,0,0,13,0,1,0,0,26,24,23,0,12,29,0,7,0,0,31,0,8,0,25,8,9,11,0,0,6,0,0,33,21,0,0,0,18,0,13,16,0,0,9,29,9,18,0,15,12,19,0,10,22,0,0,16,0,0,5,11,5,7,0,16,28,9,0,19,28,20,11,0,39,0,21,0,9,8
Wdr26,0,0,6,0,10,0,21,9,0,7,15,0,0,0,13,3,3,0,0,2,9,4,1,1,0,0,14,20,9,0,13,3,9,0,12,13,17,0,8,0,0,0,0,6,3,14,0,8,0,0,4,0,0,2,8,0,16,0,9,0,10,0,0,0,0,0,0,0,4,44,4,14,14,16,7,15,28,3,1,0,5,0,0,8,17,3,0,3,0,8,13,7,3,7,0,4,0,1,4,12,4,3,9,1,0,0,0,2,2,0,3,0,6,3,17,10,1,5,1,3,0,0,0,11,0,2,2,4,1,14,1,5,1,6,0,2,6,16,12,15,0,0,8,12,0,5,8,0,6,1,0,5,0,0,6,3,0,4,0,0,11,8,0,0,1,9,0,5,4,0,4,0,9,0,4,0,0,10,6,6,4,0,3,2,1,2,0,14,0,10,0,6,0,8,4,3,0,0,0,7,11,3,2,3,9,0,0,12,0,1,2,1,10,3,4,4,0,0,4,4,1,9,6,6
Capn2,21,6,8,5,14,29,15,12,11,22,1,11,13,6,20,18,0,1,9,0,13,11,17,0,2,31,29,18,9,14,17,32,6,0,8,6,0,19,25,2,11,11,2,17,6,31,16,18,13,4,1,11,4,10,43,31,3,2,10,0,5,4,3,3,10,1,1,18,3,32,13,49,12,3,34,5,34,0,9,1,0,0,10,0,12,22,12,0,0,0,5,23,11,25,5,8,10,27,17,14,13,14,14,14,0,24,0,12,15,34,19,0,9,19,25,11,2,2,14,4,0,0,0,7,0,3,16,10,6,10,17,10,2,2,3,1,3,8,8,4,2,6,14,9,11,17,14,0,6,6,0,0,0,0,20,10,12,0,0,6,12,7,12,9,10,18,0,4,7,10,10,4,3,0,13,0,7,22,6,0,0,5,5,3,21,0,3,7,6,6,1,14,5,0,10,7,0,1,8,1,3,11,1,0,25,13,6,5,1,0,8,8,12,11,18,10,1,0,12,16,25,0,24,2
Eprs,14,11,4,5,18,20,17,7,5,11,19,7,14,2,9,7,4,2,6,1,7,8,9,2,10,13,19,4,7,4,18,15,17,5,1,22,5,20,9,7,8,7,2,0,2,33,5,25,8,7,11,7,1,13,7,6,13,0,2,13,5,7,0,3,5,2,0,16,8,7,11,42,5,1,2,12,11,0,4,4,1,0,19,9,16,5,5,1,3,7,10,2,19,4,0,10,0,11,14,19,6,10,1,8,1,10,0,20,8,16,6,0,7,12,11,4,1,16,11,3,0,1,5,4,0,0,13,6,2,8,3,8,0,1,4,2,0,6,6,5,1,0,5,6,1,15,4,0,20,7,6,1,1,1,10,15,5,0,5,8,3,5,7,7,8,2,0,6,10,5,4,6,9,5,10,3,1,27,12,0,4,4,3,1,8,4,3,3,5,3,2,4,2,7,11,13,3,7,5,5,4,7,11,1,15,23,9,4,2,4,10,8,5,4,9,11,1,1,11,17,11,12,7,8
Ptpn14,0,0,14,0,0,30,19,0,14,0,0,7,4,1,7,16,0,0,0,0,0,2,18,7,0,0,23,9,13,7,0,1,0,0,0,0,0,4,2,0,19,0,0,0,0,9,0,10,8,0,10,10,0,5,12,9,0,0,8,2,0,13,0,0,0,0,0,7,0,20,0,27,16,14,0,0,1,1,0,7,2,0,4,0,0,0,10,0,0,4,8,2,14,2,6,22,0,8,0,0,11,8,31,0,3,0,0,0,0,11,0,0,8,3,9,0,0,0,0,5,0,1,0,0,0,0,2,0,0,4,0,0,1,0,1,0,0,0,6,6,0,0,9,0,3,0,7,2,6,6,0,0,0,4,6,0,0,6,0,6,14,4,12,0,0,0,0,9,5,10,4,0,6,0,7,1,5,7,14,5,3,0,0,9,0,2,0,9,0,7,4,2,0,9,0,9,4,9,0,0,1,3,10,4,10,8,6,0,0,1,5,13,0,7,7,0,2,1,0,0,10,9,7,5
Smyd2,1,16,22,6,4,9,15,7,1,11,20,7,7,2,17,7,2,3,10,0,11,5,10,9,4,7,30,10,8,10,6,13,4,8,4,8,1,19,17,5,15,17,9,2,0,8,6,11,13,7,10,6,4,23,8,13,27,8,5,1,6,15,8,1,0,3,5,12,12,3,8,27,47,1,5,7,16,1,3,3,2,1,6,0,16,9,6,0,5,13,21,1,19,12,11,1,11,0,16,4,6,9,0,8,2,8,5,9,4,7,9,0,7,19,15,9,1,7,3,3,5,1,0,5,0,4,2,8,5,6,3,7,2,4,5,0,5,1,8,7,1,0,19,8,4,14,4,3,3,9,9,4,5,3,7,12,12,8,8,7,9,8,17,10,7,5,3,3,3,10,13,9,10,2,9,7,1,19,15,0,2,4,3,0,11,10,0,9,13,9,4,8,1,6,15,15,2,8,3,4,1,12,5,0,8,9,12,2,4,5,4,8,7,4,5,27,2,0,15,11,10,0,4,1
Pcmt1,14,4,7,16,4,12,0,12,0,6,16,8,3,5,10,12,0,2,5,0,11,11,8,9,2,4,9,16,6,5,17,6,5,0,4,15,0,10,32,3,6,8,5,3,1,16,9,25,5,1,3,12,5,30,7,17,8,0,15,3,6,1,1,0,5,0,14,8,0,33,2,46,9,23,8,17,38,2,0,1,9,0,2,2,11,5,9,1,4,13,6,6,17,8,2,8,5,2,10,8,11,7,10,2,0,10,0,10,7,9,18,0,9,9,13,8,0,4,8,0,0,2,0,6,3,0,5,6,1,5,4,9,6,2,2,0,6,13,13,2,2,0,10,11,0,6,15,1,14,3,3,1,0,6,8,6,11,6,2,10,5,8,17,9,5,0,0,0,4,3,0,2,7,0,14,4,4,13,16,0,10,0,2,5,6,9,0,7,3,6,0,5,8,0,8,9,0,5,5,4,1,9,5,0,12,12,8,9,1,6,2,7,0,5,7,6,4,3,5,10,13,1,1,0
Katna1,3,3,3,0,1,2,2,0,2,3,2,0,1,1,0,0,0,0,1,0,2,5,0,3,0,0,3,2,2,0,0,0,1,0,3,0,4,5,0,2,0,2,0,1,1,1,3,5,2,1,2,1,0,0,0,4,1,2,3,2,0,0,3,0,1,0,0,0,5,1,3,2,1,1,0,5,2,1,0,3,0,0,3,1,2,0,7,0,5,0,1,0,3,0,0,1,0,1,1,0,0,3,3,2,0,4,0,0,8,4,2,0,1,2,4,3,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,1,0,0,1,0,0,2,5,5,0,0,1,0,2,1,1,2,0,0,0,0,4,0,3,3,0,2,3,0,0,1,0,0,5,3,0,2,1,0,5,1,1,1,1,0,0,0,4,2,0,7,0,4,4,2,0,0,0,3,3,4,1,3,1,5,2,2,0,3,4,1,2,5,1,2,2,1,0,1,4,3,0,0,0,1,2,0,0,0
Fuca2,5,18,10,14,0,39,5,0,1,39,20,9,0,10,11,0,0,0,12,3,15,12,48,19,0,0,9,16,11,10,29,28,5,10,17,21,0,11,23,12,12,0,5,22,0,20,10,24,28,8,12,0,3,42,26,3,0,4,16,6,15,0,1,0,9,0,0,24,15,93,35,68,6,28,0,11,25,0,3,13,5,2,17,0,12,20,15,0,9,18,12,13,19,12,0,13,14,10,14,19,12,10,12,0,9,3,3,21,22,14,12,0,12,6,11,22,0,16,16,9,0,1,10,0,0,0,2,0,0,9,3,0,2,0,2,9,1,11,20,4,0,0,7,0,2,19,0,8,8,6,0,0,5,6,24,16,8,3,12,15,9,3,12,17,17,0,2,14,10,8,11,7,9,3,20,0,0,2,18,0,7,9,14,0,0,8,0,9,0,11,6,0,3,15,6,2,5,4,18,4,10,10,10,5,15,3,14,9,0,12,15,13,6,4,16,7,0,5,2,32,7,7,0,8
